date,forecast,actual,product,best_model
2024-10-31,4803.272736950716,5526.766666666666,Bread,LSTM
2024-11-30,4617.329902247588,4081.5833333333335,Bread,LSTM
2024-12-31,4713.299351513386,4406.416666666667,Bread,LSTM
2024-10-31,3122.469306127479,3292.2833333333333,Coffee,LSTM
2024-11-30,3065.188786071787,3392.2166666666667,Coffee,LSTM
2024-12-31,2966.908976738776,2718.566666666667,Coffee,LSTM
2024-10-31,5875.931190077463,6163.200000000001,Eggs,LSTM
2024-11-30,5826.801284853616,6547.133333333334,Eggs,LSTM
2024-12-31,5642.266796771684,5498.833333333333,Eggs,LSTM
2024-10-31,93165.68774955274,99167.56666666668,Headphones,LSTM
2024-11-30,90978.93224166633,90931.25,Headphones,LSTM
2024-12-31,90993.16729031803,88591.01666666668,Headphones,LSTM
2024-10-31,40190.06153339545,41067.61666666667,Jeans,LSTM
2024-11-30,40850.24340356985,41966.8,Jeans,LSTM
2024-12-31,41118.60090556145,48107.05,Jeans,LSTM
2024-10-31,2493.1912856717904,1828.7666666666669,Juice,LSTM
2024-11-30,2700.259985226393,2662.9833333333336,Juice,LSTM
2024-12-31,2737.0733511095245,3330.9166666666665,Juice,LSTM
2024-10-31,100656.67960030933,111292.01666666668,Laptop,LSTM
2024-11-30,97575.81443193454,104588.1,Laptop,LSTM
2024-12-31,95686.73654334544,92163.4,Laptop,LSTM
2024-10-31,2379.4471268827715,2483.533333333333,Milk,LSTM
2024-11-30,2339.7975777442252,2070.083333333333,Milk,LSTM
2024-12-31,2369.3702236826216,2109.1,Milk,LSTM
2024-10-31,5066.062060881157,5574.900000000001,Rice,LSTM
2024-11-30,4813.29628646771,4491.983333333335,Rice,LSTM
2024-12-31,4843.908572696148,3981.8000000000006,Rice,LSTM
2024-10-31,28425.995362453417,31402.75,Shoes,LSTM
2024-11-30,27873.4122815917,27764.88333333333,Shoes,LSTM
2024-12-31,27846.96829602272,26019.783333333336,Shoes,LSTM
2024-10-31,80263.63747133016,76243.78333333334,Smartphone,LSTM
2024-11-30,81686.94733935694,81769.05,Smartphone,LSTM
2024-12-31,81985.02016554773,88708.81666666667,Smartphone,LSTM
2024-10-31,2348.3088197966413,2755.0166666666664,Soda,LSTM
2024-11-30,2206.590635170539,2190.95,Soda,LSTM
2024-12-31,2191.7436736166474,1713.249999999999,Soda,LSTM
2024-10-31,29434.44601933411,32841.066666666666,T-shirt,ARIMA
2024-11-30,29340.98182711103,33157.65,T-shirt,ARIMA
2024-12-31,29356.041934303805,31733.1,T-shirt,ARIMA
