Product,Model,MAE,RMSE,MAPE,WMAPE
Headphones,Prophet,28177.90586691303,29484.23921174073,30.467410237268467,30.332544459786806
Headphones,ARIMA,5670.635808559052,6509.829673313739,6.282189513207976,6.104243998499104
Headphones,LSTM,2787.6698548992426,3700.494767050738,2.9027608542569623,3.0008305163737203
Laptop,Prophet,19251.05232479896,21207.06383618466,18.18472485643371,18.748376073401165
Laptop,ARIMA,11721.549826355933,14159.470245525834,12.104561657159115,11.415481117597873
Laptop,LSTM,6733.023980707269,7129.700480538612,6.424037095980818,6.5572137861220385
